country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","08-04-2025 20:00:00",21.941841,86.728318,PM2.5,10,35,17
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","08-04-2025 20:00:00",21.941841,86.728318,NO2,1,22,9
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB","08-04-2025 20:00:00",20.240790,85.836784,NH3,3,6,4
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB","08-04-2025 20:00:00",20.240790,85.836784,OZONE,8,26,22
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB","08-04-2025 20:00:00",20.34652,85.81630,OZONE,7,51,39
India,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB","08-04-2025 20:00:00",22.06156703,85.47409613,PM2.5,9,40,18
India,Odisha,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB","08-04-2025 20:00:00",21.869985,85.167016,NH3,NA,NA,NA
India,Odisha,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB","08-04-2025 20:00:00",21.869985,85.167016,OZONE,37,39,38
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","08-04-2025 20:00:00",11.9309,79.8027,PM2.5,3,20,10
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","08-04-2025 20:00:00",11.9309,79.8027,SO2,5,12,9
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","08-04-2025 20:00:00",31.620000,74.876512,PM10,94,127,112
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","08-04-2025 20:00:00",31.620000,74.876512,OZONE,38,59,46
India,Punjab,Bathinda,"Hardev Nagar, Bathinda - PPCB","08-04-2025 20:00:00",30.233011,74.907758,PM2.5,45,323,96
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","08-04-2025 20:00:00",20.94185,86.11510,NO2,1,2,1
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","08-04-2025 20:00:00",20.94185,86.11510,OZONE,1,74,50
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB","08-04-2025 20:00:00","20.48891     ","85.84768     ",SO2,4,5,5
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB","08-04-2025 20:00:00","20.48891     ","85.84768     ",CO,86,100,87
India,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB","08-04-2025 20:00:00",21.643900,85.599355,PM2.5,12,95,49
India,Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB","08-04-2025 20:00:00",21.847279,85.416905,PM2.5,NA,NA,NA
India,Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB","08-04-2025 20:00:00",21.847279,85.416905,NO2,NA,NA,NA
India,Odisha,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB","08-04-2025 20:00:00",22.265816,86.174829,PM10,30,70,58
India,Odisha,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB","08-04-2025 20:00:00",22.265816,86.174829,OZONE,8,22,18
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB","08-04-2025 20:00:00",22.220833,84.809444,PM2.5,42,304,129
India,Odisha,Rourkela,"Sector-2, Rourkela - OSPCB","08-04-2025 20:00:00",22.24500000,84.88111111,CO,23,40,33
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB","08-04-2025 20:00:00",21.606865,85.510538,NH3,4,4,4
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","08-04-2025 20:00:00",31.321907,75.578914,NH3,2,4,3
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","08-04-2025 20:00:00",31.321907,75.578914,CO,36,52,43
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","08-04-2025 20:00:00","30.736056 ",76.209694,PM2.5,75,181,114
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","08-04-2025 20:00:00","30.736056 ",76.209694,NH3,7,7,7
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","08-04-2025 20:00:00","30.736056 ",76.209694,SO2,3,17,8
India,Punjab,"Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","08-04-2025 20:00:00",30.649961,76.331442,PM10,NA,NA,NA
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB","08-04-2025 20:00:00",23.555190,74.440010,CO,14,105,35
India,Rajasthan,Baran,"Bamboliya, Baran - RSPCB","08-04-2025 20:00:00",25.106006,76.469948,CO,16,91,43
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB","08-04-2025 20:00:00",25.747299,71.393989,PM2.5,13,60,37
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB","08-04-2025 20:00:00",25.747299,71.393989,PM10,80,211,124
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB","08-04-2025 20:00:00",27.215415,77.50873,NO2,14,72,45
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","08-04-2025 20:00:00",19.222279,72.957979,NO2,11,84,37
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","08-04-2025 20:00:00",19.235581,73.159121,PM10,77,139,108
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","08-04-2025 20:00:00",19.235581,73.159121,SO2,14,104,36
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","08-04-2025 20:00:00",19.4458210,72.7988231,PM2.5,38,301,77
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","08-04-2025 20:00:00",19.4458210,72.7988231,NH3,1,4,2
India,Punjab,Patiala,"Model Town, Patiala - PPCB","08-04-2025 20:00:00",30.349388,76.366642,NO2,18,90,30
India,Punjab,Patiala,"Model Town, Patiala - PPCB","08-04-2025 20:00:00",30.349388,76.366642,CO,22,110,33
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","08-04-2025 20:00:00",26.470859,74.646594,CO,6,96,42
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","08-04-2025 20:00:00",27.554793,76.611536,OZONE,10,44,41
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","08-04-2025 20:00:00",24.885261,72.857549,NO2,6,42,15
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","08-04-2025 20:00:00",29.931624,73.864511,NH3,4,6,5
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","08-04-2025 20:00:00",26.159933,75.780517,PM10,NA,NA,NA
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","08-04-2025 20:00:00",26.159933,75.780517,NH3,NA,NA,NA
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","08-04-2025 20:00:00",24.5886166,73.6321397,NO2,32,35,34
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","08-04-2025 20:00:00",24.5886166,73.6321397,CO,5,118,50
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","08-04-2025 20:00:00",24.5886166,73.6321397,OZONE,3,96,56
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB","08-04-2025 20:00:00",27.338530,88.614099,PM2.5,NA,NA,NA
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB","08-04-2025 20:00:00",27.338530,88.614099,NH3,NA,NA,NA
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB","08-04-2025 20:00:00",26.699557,77.898881,PM10,96,173,118
